uid,country,block,Name,full_name,Symbol,symbol_type,RIC,has_ric,start_date,hist_year,Sector,Currency,Exchange,Market,Activity
DE0001,DE,DE-01,PLANUS,Planus,13356P,numeric,-,False,2000-12-22,2000,Health Care Providers,Euro,Deutsche Boerse AG,Germany,Dead
DE0002,DE,DE-01,GREEN NET ZERT. (FRA),Green Net Zertifikate (Frankfurt),13605L,numeric,GN7Gz.F^F11,True,2001-02-23,2001,Software and Computer Services,Euro,Deutsche Boerse AG,Germany,Dead
DE0003,DE,DE-01,FARMATIC BIOTECH EN.,Farmatic Biotechnology Energy,13767F,numeric,FARG.F^L12,True,2001-04-06,2001,Alternative Energy,Euro,Deutsche Boerse AG,Germany,Dead
DE0004,DE,DE-01,DWS SCHWEIZ MERG SEE 136316,DWS Schweiz Merg See 136316,138471,numeric,-,False,1994-11-07,1994,Real Estate Investment Trusts,Euro,Deutsche Boerse AG,Germany,Dead
DE0005,DE,DE-01,AGAB NEUE,Agab Neue,142713,numeric,-,False,1994-06-27,1994,Food Producers,German Mark,Deutsche Boerse AG,Germany,Dead
DE0006,DE,DE-01,HUNGAGENT,Hungagent,142726,numeric,-,False,1994-06-28,1994,Unclassified,German Mark,Deutsche Boerse AG,Germany,Dead
DE0007,DE,DE-01,FEHLING MEDICAL,Fehling Medical,142791,numeric,-,False,1994-07-06,1994,Pharmaceuticals and Biotechnology,Euro,Deutsche Boerse AG,Germany,Dead
DE0008,DE,DE-01,VOLKSWAGEN NEUE,Volkswagen Neue,142793,numeric,-,False,1994-07-01,1994,Automobiles and Parts,German Mark,Deutsche Boerse AG,Germany,Dead
DE0009,DE,DE-01,SKW TROSTBERG,SKW Trostberg,143723,numeric,-,False,1995-05-24,1995,Chemicals,Euro,Deutsche Boerse AG,Germany,Dead
DE0010,DE,DE-01,TARKETT,Tarkett,143984,numeric,-,False,1995-06-29,1995,Household Goods and Home Construction,Euro,Deutsche Boerse AG,Germany,Dead
DE0011,DE,DE-01,BAYER.HYPBK. JUNGE,Bayerische Hypothekenbank Junge,145658,numeric,-,False,1994-12-08,1994,Banks,German Mark,Deutsche Boerse AG,Germany,Dead
DE0012,DE,DE-01,COMPUTERLINKS NM,Computerlinks NM,14676L,numeric,-,False,2001-10-10,2001,Software and Computer Services,Euro,Deutsche Boerse AG,Germany,Dead
DE0013,DE,DE-01,VIVACON,Vivacon,14907P,numeric,VIVG.F^A15,True,2001-12-20,2001,Real Estate Investment and Services,Euro,Deutsche Boerse AG,Germany,Dead
DE0014,DE,DE-01,GEHE JUNGE,Gehe Junge,153123,numeric,-,False,1995-07-13,1995,"Personal Care, Drug and Grocery Stores",German Mark,Deutsche Boerse AG,Germany,Dead
DE0015,DE,DE-01,ALLIANZ HLDG. JUNGE,Allianz Holding Junge,153252,numeric,-,False,1995-07-14,1995,Non-life Insurance,German Mark,Deutsche Boerse AG,Germany,Dead
DE0016,DE,DE-01,DEPFA BANK,Deutsche Pfrandbrief Bank,15331E,numeric,-,False,1991-03-12,1991,Banks,Euro,Deutsche Boerse AG,Germany,Dead
DE0017,DE,DE-01,COBRACREST,Cobracrest,25691M,numeric,ABTG.F^L12,True,2002-06-17,2002,Pharmaceuticals and Biotechnology,Euro,Deutsche Boerse AG,Germany,Dead
DE0018,DE,DE-01,DEUTSCHE WOHNEN V,Deutsche Wohnen V,2584JY,numeric,DWNv.F^G21,True,2021-06-30,2021,Real Estate Investment and Services,Euro,Deutsche Boerse AG,Germany,Dead
DE0019,DE,DE-01,BIOTEST V,Biotest V,2613Z2,numeric,BIO0v.F^D22,True,2021-10-29,2021,Food Producers,Euro,Deutsche Boerse AG,Germany,Dead
DE0020,DE,DE-01,AAREAL BANK V,Aareal Bank V,2633H0,numeric,ARL0v.F^B22,True,2021-12-23,2021,Industrial Engineering,Euro,Deutsche Boerse AG,Germany,Dead
DE0021,DE,DE-01,SLM SOLUTIONS GRP.,SLM Solutions GRP,2634N1,numeric,AM3AG.F^J16,True,2016-10-14,2016,Electronic and Electrical Equipment,Euro,Deutsche Boerse AG,Germany,Dead
DE0022,DE,DE-01,DEUTSCHE POST E,Deutsche Post E,2637Y0,numeric,DPWNe.F^E22,True,2022-01-10,2022,Industrial Transportation,Euro,Deutsche Boerse AG,Germany,Dead
DE0023,DE,DE-01,GAP,Gap,264721,numeric,-,False,2000-09-19,2000,Telecommunications Equipment,Euro,Deutsche Boerse AG,Germany,Dead
DE0024,DE,DE-01,AIXTRON E,Aixtron E,2651NF,numeric,AIXe.F^E22,True,2022-03-16,2022,Technology Hardware and Equipment,Euro,Deutsche Boerse AG,Germany,Dead
DE0025,DE,DE-01,PFERDEWETTEN DE E,Pferdewetten de E,26545A,numeric,EMH0e.F^H22,True,2022-06-02,2022,Software and Computer Services,Euro,Deutsche Boerse AG,Germany,Dead
DE0026,DE,DE-01,REPLY DEUTSCHLAND,Reply Deutschland,269520,numeric,SYSG.F^L13,True,2000-11-01,2000,Software and Computer Services,Euro,Deutsche Boerse AG,Germany,Dead
DE0027,DE,DE-01,PRIVATE VALUE,Private Value,270522,numeric,BLNG.F^J11,True,1999-08-10,1999,Industrial Support Services,Euro,Deutsche Boerse AG,Germany,Dead
DE0028,DE,DE-01,GREEN NET CO.LTD,Green Net Company Limited,271037,numeric,-,False,2001-02-07,2001,Software and Computer Services,Euro,Deutsche Boerse AG,Germany,Dead
DE0029,DE,DE-01,MTU AERO ENGINES E,MTU Aero Engines E,2711Y0,numeric,MTXNe.F^E23,True,2023-01-27,2023,Aerospace and Defense,Euro,Deutsche Boerse AG,Germany,Dead
DE0030,DE,DE-01,BASTFASERKONTOR,Bastfaserkontor,27154W,numeric,-,False,2003-06-18,2003,Real Estate Investment and Services,Euro,Deutsche Boerse AG,Germany,Dead
DE0031,DE,DE-01,BEWAG AG,Bewag AG,27183D,numeric,-,False,2003-06-23,2003,Electricity,Euro,Deutsche Boerse AG,Germany,Dead
DE0032,DE,DE-01,EDDING AG,Edding AG,27183Q,numeric,-,False,2003-06-23,2003,"Personal Care, Drug and Grocery Stores",Euro,Deutsche Boerse AG,Germany,Dead
DE0033,DE,DE-01,ENERGIE BADEN-WUERTTEMBE RG AG,Energie Baden-Wuerttembe RG AG,27183W,numeric,-,False,2003-06-23,2003,Electricity,Euro,Deutsche Boerse AG,Germany,Dead
DE0034,DE,DE-01,JADO DESIGN ARMATUR UND BESCHLAG AG,Jado Design Armatur und Beschlag AG,27184D,numeric,-,False,2003-06-23,2003,Household Goods and Home Construction,Euro,Deutsche Boerse AG,Germany,Dead
DE0035,DE,DE-01,MASCHINENFABRIK BERTHOLD HERMLE AG,Maschinenfabrik Berthold Hermle AG,27184F,numeric,-,False,2003-06-23,2003,Industrial Engineering,Euro,Deutsche Boerse AG,Germany,Dead
DE0036,DE,DE-01,METRO AG,Metro AG,27184H,numeric,-,False,2003-06-23,2003,Retailers,Euro,Deutsche Boerse AG,Germany,Dead
DE0037,DE,DE-01,PROSIEBENSAT 1 MEDIA AG,Prosiebensat 1 Media AG,27184K,numeric,-,False,2003-06-23,2003,Media,Euro,Deutsche Boerse AG,Germany,Dead
DE0038,DE,DE-01,QUANTE AG,Quante AG,27184R,numeric,-,False,2003-06-23,2003,Telecommunications Equipment,Euro,Deutsche Boerse AG,Germany,Dead
DE0039,DE,DE-01,SANACORP PHARMAHANDEL AG,Sanacorp Pharmahandel AG,27184V,numeric,-,False,2003-06-23,2003,Pharmaceuticals and Biotechnology,Euro,Deutsche Boerse AG,Germany,Dead
DE0040,DE,DE-01,SCHULER AG,Schuler AG,27185C,numeric,-,False,2003-06-23,2003,Industrial Engineering,Euro,Deutsche Boerse AG,Germany,Dead
DE0041,DE,DE-01,SCHWABENVERLAG AG,Schwabenverlag AG,27186L,numeric,-,False,2003-06-23,2003,Media,Euro,Deutsche Boerse AG,Germany,Dead
DE0042,DE,DE-01,STO AKTIENGESELLSCHAFT,STO Aktiengesellschaft,27186N,numeric,-,False,2003-06-23,2003,Construction and Materials,Euro,Deutsche Boerse AG,Germany,Dead
DE0043,DE,DE-01,WASGAU PRODUKTIONS & HAN DELS AG,Wasgau Produktions and Han Dels AG,27186U,numeric,-,False,2003-06-23,2003,"Personal Care, Drug and Grocery Stores",Euro,Deutsche Boerse AG,Germany,Dead
