file,freq,block,rows,symbols,err_cols,sec,status
MKT_A_DE-01.xlsx,A,DE-01,14679,96,961,1.3,OK
MKT_A_DE-02.xlsx,A,DE-02,10005,77,1273,1.3,OK
MKT_A_DE-03.xlsx,A,DE-03,13665,83,1241,1.0,OK
MKT_A_DE-04.xlsx,A,DE-04,8214,67,1421,0.9,OK
MKT_A_DE-05.xlsx,A,DE-05,6875,54,1591,0.8,OK
MKT_A_DE-06.xlsx,A,DE-06,19825,96,963,1.6,OK
MKT_A_DE-07.xlsx,A,DE-07,24350,109,762,2.0,OK
MKT_A_DE-08.xlsx,A,DE-08,22829,105,837,1.4,OK
MKT_A_DE-09.xlsx,A,DE-09,21735,100,901,1.4,OK
MKT_A_DE-10.xlsx,A,DE-10,25499,115,643,1.5,OK
MKT_A_DE-11.xlsx,A,DE-11,23471,109,736,1.5,OK
MKT_A_DE-12.xlsx,A,DE-12,22964,106,814,1.5,OK
MKT_A_DE-13.xlsx,A,DE-13,23965,114,697,1.6,OK
MKT_A_DE-14.xlsx,A,DE-14,24934,106,779,2.6,OK
MKT_A_DE-15.xlsx,A,DE-15,23855,113,685,1.9,OK
MKT_A_DE-16.xlsx,A,DE-16,6900,35,412,0.5,OK
MKT_A_ES-01.xlsx,A,ES-01,33745,108,763,1.5,OK
MKT_A_ES-02.xlsx,A,ES-02,30620,99,962,1.3,OK
MKT_A_ES-03.xlsx,A,ES-03,32891,133,501,1.7,OK
MKT_A_ES-04.xlsx,A,ES-04,30816,136,412,1.8,OK
MKT_A_ES-05.xlsx,A,ES-05,25208,129,523,1.7,OK
MKT_A_ES-06.xlsx,A,ES-06,29789,132,441,2.2,OK
MKT_A_ES-07.xlsx,A,ES-07,22993,122,254,2.0,OK
MKT_A_FR-01.xlsx,A,FR-01,10457,72,1445,0.9,OK
MKT_A_FR-02.xlsx,A,FR-02,3825,26,2058,0.4,OK
MKT_A_FR-03.xlsx,A,FR-03,1373,15,2193,0.2,OK
MKT_A_FR-04.xlsx,A,FR-04,1056,6,2305,0.1,OK
MKT_A_FR-05.xlsx,A,FR-05,29156,131,400,1.8,OK
MKT_A_FR-06.xlsx,A,FR-06,28753,144,214,2.8,OK
MKT_A_FR-07.xlsx,A,FR-07,20843,104,868,1.4,OK
MKT_A_FR-08.xlsx,A,FR-08,22615,110,827,1.6,OK
MKT_A_FR-09.xlsx,A,FR-09,20537,116,730,2.1,OK
MKT_A_FR-10.xlsx,A,FR-10,24934,118,637,1.8,OK
MKT_A_FR-11.xlsx,A,FR-11,20903,106,855,1.4,OK
MKT_A_FR-12.xlsx,A,FR-12,20166,120,625,1.7,OK
MKT_A_FR-13.xlsx,A,FR-13,24128,114,692,1.7,OK
MKT_A_FR-14.xlsx,A,FR-14,14637,88,1102,1.3,OK
MKT_A_FR-15.xlsx,A,FR-15,9092,64,1452,1.0,OK
MKT_A_FR-16.xlsx,A,FR-16,20416,120,626,1.8,OK
MKT_A_FR-17.xlsx,A,FR-17,22887,112,689,2.3,OK
MKT_A_FR-18.xlsx,A,FR-18,20450,105,844,2.5,OK
MKT_A_FR-19.xlsx,A,FR-19,22156,110,784,1.5,OK
MKT_A_FR-20.xlsx,A,FR-20,8600,42,274,0.6,OK
MKT_A_IT-01.xlsx,A,IT-01,12711,79,1220,1.2,OK
MKT_A_IT-02.xlsx,A,IT-02,15904,82,1153,1.2,OK
MKT_A_IT-03.xlsx,A,IT-03,25162,127,582,1.7,OK
MKT_A_IT-04.xlsx,A,IT-04,22927,134,320,2.2,OK
