country,full_name,Symbol,Activity,Sector,first_obs,last_real,n_months,avg_mv,cluster,keep
DE,Adler Real Estate,D:ADL,Dead,Real Estate Investment and Services,1996-01-01,2023-11-01,334.0,280.0149253731343,0,True
DE,Adler Real Estate,D:ADLN,Dead,Real Estate Investment and Services,2017-02-01,2017-06-01,4.0,,0,False
DE,Aixtron,D:AIXA,Active,Technology Hardware and Equipment,1997-12-01,2025-12-01,336.0,1370.840652818991,0,True
DE,Aixtron,8784J9,Dead,Technology Hardware and Equipment,2014-04-01,2014-06-01,2.0,,0,False
DE,Allianz E,9237ZR,Dead,Non-life Insurance,2018-02-01,2018-06-01,4.0,,0,True
DE,Allianz E,93834J,Dead,Non-life Insurance,2019-02-01,2019-06-01,4.0,3422.028,1,True
DE,Bayer E,D:BAY1,Dead,Pharmaceuticals and Biotechnology,2018-02-01,2018-06-01,4.0,,0,True
DE,Bayer E,D:BAYM,Dead,Pharmaceuticals and Biotechnology,2017-02-01,2017-05-01,3.0,,1,True
DE,Brenntag,D:BNR,Active,Chemicals,2010-04-01,2025-12-01,188.0,7657.457301587301,0,True
DE,Brenntag,2922X2,Dead,Chemicals,2017-02-01,2017-07-01,5.0,4937.666666666667,0,False
DE,CS PCC,D:CCW1,Dead,Open End and Miscellaneous Investment Vehicles,2009-09-01,2014-03-01,54.0,,0,True
DE,CS PCC,67872U,Dead,Open End and Miscellaneous Investment Vehicles,2009-09-01,2012-06-01,33.0,,0,False
DE,Commerzbank,D:CBK,Active,Banks,1996-01-01,2025-12-01,359.0,11817.776166666667,0,True
DE,Commerzbank,D:LFHA,Dead,Banks,2008-07-01,2008-08-01,1.0,,0,False
DE,Deutsche Cannabis,D:HEMP,Dead,Software and Computer Services,2000-09-01,2021-10-01,253.0,3.8389370078740157,0,True
DE,Deutsche Cannabis,D:FAM2,Dead,Software and Computer Services,2017-01-01,2021-10-01,57.0,0.5493023255813954,0,False
DE,Deutsche Postbank,D:DPB,Dead,Banks,2004-07-01,2016-01-01,138.0,6935.055035971223,0,True
DE,Essential Invest GMBH and Company KGaA,D:ES3A,Dead,Investment Banking and Brokerage Services,2006-02-01,2010-08-01,54.0,484.4563636363636,0,True
DE,Essential Invest GMBH and Company KGaA,51897R,Dead,Investment Banking and Brokerage Services,2008-05-01,2010-12-01,31.0,0.68125,0,False
DE,Eurohypo,D:EHY,Dead,Banks,1996-01-01,2008-08-01,151.0,4145.145460526316,0,True
DE,Eurohypo,929109,Dead,Banks,1996-01-01,2002-09-01,80.0,1515.545925925926,0,False
DE,Feedback,D:FEE,Dead,Investment Banking and Brokerage Services,2000-07-01,2006-04-01,69.0,8.450142857142858,0,True
DE,Feedback,D:FEE1,Dead,Investment Banking and Brokerage Services,2006-04-01,2016-04-01,120.0,10.62694214876033,1,True
DE,IQ International,D:IQL,Active,Automobiles and Parts,2015-03-01,2025-12-01,129.0,13.813846153846153,0,True
DE,IQ International,D:IQL1,Active,Automobiles and Parts,2020-10-01,2025-10-01,60.0,26.988196721311475,0,False
DE,Joyou,D:JY8,Dead,Construction and Materials,2010-04-01,2016-07-01,75.0,221.21776315789472,0,True
DE,Joyou,D:JY8V,Dead,Construction and Materials,2013-12-01,2014-01-01,1.0,,0,False
DE,Kontron,D:KBC,Dead,Technology Hardware and Equipment,2000-05-01,2017-09-01,208.0,452.6659330143541,0,True
DE,Kontron,D:KTN,Active,Software and Computer Services,2000-12-01,2025-12-01,300.0,506.39677740863783,1,True
DE,LHS,D:LHS,Dead,Software and Computer Services,2006-11-01,2010-03-01,40.0,424.19975609756096,0,True
DE,LHS,D:LHS1,Dead,Software and Computer Services,2007-08-01,2007-09-01,1.0,,0,False
DE,R Stahl,D:RSL2,Active,Electronic and Electrical Equipment,1997-08-01,2025-12-01,340.0,140.29410557184752,0,True
DE,R Stahl,D:RSL3,Dead,Technology Hardware and Equipment,2014-06-01,2014-07-01,1.0,270.5,1,True
DE,Rapid Nutrition (Frankfurt),D:RNP,Dead,Food Producers,2021-07-01,2021-09-01,2.0,1.38,0,True
DE,Rapid Nutrition (Frankfurt),D:RNPI,Dead,Food Producers,2014-07-01,2016-05-01,22.0,52.08173913043478,1,True
DE,SGL Carbon E,D:SGLA,Dead,Industrial Metals and Mining,2019-03-01,2019-05-01,2.0,,0,True
DE,SGL Carbon E,D:SGLN,Dead,Industrial Metals and Mining,2015-02-01,2015-04-01,2.0,,1,True
DE,Sai Automotive,D:SAI,Dead,Automobiles and Parts,1996-01-01,2004-08-01,103.0,526.8558653846154,0,True
DE,Sai Automotive,D:SAI7,Dead,Automobiles and Parts,1997-05-01,1998-07-01,14.0,50.37928571428572,0,False
DE,Varta,D500100,Dead,Food Producers,1996-01-01,2012-10-01,201.0,186.3558910891089,0,True
DE,Varta,D:VAR1,Dead,Food Producers,2017-11-01,2025-04-01,89.0,2250.663111111111,1,True
DE,Viag,729407,Dead,General Industrials,1996-01-01,2000-07-01,54.0,11551.659454545455,0,True
DE,Viag,D:VIA1,Dead,General Industrials,1996-01-01,1997-12-01,23.0,6459.916666666667,0,False
DE,Weng Fine Art,86624J,Dead,Consumer Services,2012-01-01,2016-07-01,54.0,25.961272727272725,0,True
DE,Weng Fine Art,D:WFA,Active,Consumer Services,2018-06-01,2025-12-01,90.0,51.28857142857143,1,True
ES,ACS Actividades Construccion y Servicios,E:ACS,Active,Construction and Materials,1996-01-01,2025-12-01,359.0,7458.406277777777,0,True
ES,AP67,E:AP61,Dead,Real Estate Investment and Services,2019-11-01,2025-08-01,69.0,40.50742857142857,0,True
ES,AP67,E:AP67,Dead,Real Estate Investment and Services,2018-06-01,2019-08-01,14.0,36.16133333333333,1,True
ES,Aguas de Barcelona,E:AGS,Dead,"Gas, Water and Multi-utilities",1996-01-01,2010-06-01,173.0,2308.9948275862066,0,True
ES,Aguas de Barcelona,E:AGSB,Dead,"Gas, Water and Multi-utilities",2004-01-01,2004-07-01,6.0,7.984285714285714,0,False
ES,Commcenter,E:CMM,Dead,Telecommunications Service Providers,2011-01-01,2025-07-01,174.0,12.4692,0,True
